,0,1,2,3,4,5,6
0,OPIooFGa3WgHkMmczCCFbR3V5bjZ7yh3JWiX_d97Bk9nJxtl,-zu2NevyIw5Om8AP525KixjAyhMIvfBDHPeA7x6PkQj_iS9-wsLM6yjr,i-uQaBNUOxzX7cRM_H9GEBd7Ztkoc8Q8I8ebXcNYzPtPZRaApiEKXHYEbm_74diiidraUm9-WuBW5w,Soundwave2017,4249.0,1611378825000.0,147.0
1,RaShKVRgFyhINtNdm8zgvsHv0QFTbcGrztdfJbsLvVoqFm8r,RroQJ-ZTNrSqPPc-vTRaptTs9ExSjgycEfAI3EItzK1flFTUdbWCRZI_,hfPeV6KfmYGQmSOFwBkpywzoV8QxAClLDHiCL582SlBcLPppAulOs0fnFupAaH6XCJeuidjzuXlf6w,El Pastór,4378.0,1601182818000.0,18.0
2,0CPnxKEwl1q7GtVRRYmTix96qibKkCUXyb4O7_YVeWxX7apl,SUpUNdqnHXOH2V_H6sXlzms5xLnXicyKK0Xi2k2Keu4fF46LfLnj-oJ2,loFqb6ev8mNsRazPLw1FwYHfapdaeW2Cg-EUBDKla0U6wUIYQ8ZGFnAvN4YGrTZsP4-77M9pReB7_g,bilibili nb,4655.0,1611296110000.0,111.0
3,WSHw3Xos73O4jwX2HIWV16nVCvkPxEYMsOYX28-LW_Tj5N3y,vxSxuO5SGCFvD2n19icr3gr9_dB_77utfgn3X6jJ1jfxmOFlKGORDwAW,O4c3FSfbIiqSMJ1f16quXA508Xm26PA98MXhOtv3NlTXXISl8licRBrGfIwfFw7xH3yYSMtq187Raw,GamesTrashAf,4404.0,1611318995000.0,112.0
4,Zu5jziZ_N8rqjH4vG8sSWTTVZScXQU11onpK_xAml7XW2ixp,I40_t5Ee3BB0oI1rJXu0Wzeks_OV90RGikRICOGVdoBUpJi-goa1oVnf,7DZEy5y8AtpsPcW0B6TP5YXVx9DIKedVbRdakpd0aofca2OJNlotEMxd6BBP5R5-8cURZj6_ZRqihw,RABBITBMADDOX,7.0,1604899113000.0,139.0
5,idhLjUmKWttvv2SfOxecAlV-LOfT7TLeCW26nZ_kVTQN3c0H,n6EujK7btKGcKU2jYXiMF8724hht4sguYbgfPqswirM63sYLUPdTgETx,1iLbHiMLMRVM8moT0mzwD5y6AOwLvh0EdJsx0_i7Qk5FMfu-qNmx9j70Zw9jMiDFFYnhBWdj_rQmTw,rafikir007,4491.0,1611136164000.0,114.0
6,AgWxVzquqwFIdhJJiwKd366RsYogAHoY_OhzMt9yK49_d1i5,4xVopr1GFxWcZi73r1nne5hsWJJJD7SJjDHD3_wTnkX__QxffoxVxCP2,qTnzVZ4w8nDM4ugU8VeyFg-PYX3vpUHqKdHEfybXlGIMJVZH_vhHDa49FxzG6XPzP4bKf5W1_6NhTQ,xXNoodleSlayerXx,4881.0,1611351247000.0,154.0
7,41LOt2M1zQWPQGS7Lp0aMnyTIrTVaDIlvwgNzWqjTBPgLt2-,0CdCyfuSMLP6StXUblOSp_IaZQ78FWT_C6u73OovWruDXJhRXTzRz3jc,isMCEBohGNeJ5ooe1qzJxb5TO_VU3FhPxK68aVDVewySo_i6QlDaRA2JMdf1T9CULPKxxwkzgzhWww,XxZER0518xX,4652.0,1611424142860.0,71.0
8,lpLlYQT-Jsve-X5-WCAES11v5zMmwxwHLBKkbRvyyDmCAqRo,Nu9PGA_rUOAVdRNqCdMdO9ZW94mRZxvkVrPAKc-pc7BanguT9GCQiPoz,AIwFrc2tJwV129lbsY1hfhiOPzxn5bwh4CUWqI_yVSOKnrXj6LFIZIflMnNm8gQAmgsIwRNtiu_5JQ,Ace6203,2072.0,1611291717000.0,102.0
9,Wp_l-j9KJOcew6QZIqVCde_dywTadrLvuL1PpTlWAo_Q5jLI,UQAO1gyaPokgsOtgL_GHQ9cDVgyVSZ3MLFLJGOIdMF0uKY1Gz5sAcplH,w2Q694PKZWfZ6HOaaEwLTPApy6q-gJJBtAcUudQ5pqzljRI5TkzIfByyqnrtxEjdztQxnmagELWl5g,EvilRadDad,3542.0,1611391971000.0,5.0
